abajo     yvýpe     
abalanzarse     añemombo hese     
abanderado     poyvi guerahaha     
abandonado     itaperéva     
abandonar     motyre'ÿ     
abanicar     jeipeju     
abanico     pejuha     
abaratar     hepyguejy    
abaratar     mboyvytuha
abarca     sapatupe      
abarca     hepy'o
abarcar     ñañuã    
abarcar     ha'ãmba
abastecer     hupytyka     
abastionar     mongora     
abasto     hi'upyrãrenda    
abasto     abasto
abasto     mbochuchu
abatatar     motï   
abatatar     mongyhyje 
abatido     tindy
abatido     kangy      
abatido     pepo'a
abatir     mokangy
abatir     motindy   
abdicar     jei
abdicar     ñemboyk 
abdicar     kúi    
abdomen     tyeguy
abdomen     tye     
abecedario     achegety     
abeja     káva
abeja     kavytä
abeja     kavihu'i     
abejar     káva raity     
abejarrón     mamanga     
abejaruco     ypekü     
abejaruco     guyra káva 
aberración     jejavy guasu   
aberración     jepia 
aberrar     jejavyvusu  
aberrar     jejavy guasu    
abertura     pe'a 
abertura     jeka 
abertura     juru 
abierto     ojei     
abierto     ojepe'a 
abigarrado     pititï
abigarrado     mbatara      
abigarrado     ipararáva
abigeato     mymba monda     
abigeo     mymba mondaha     
abintestato     potapaha'ÿre      
abintestato     techagihápe
abismar     jepy'amongeta 
abismar     mbopypuku 
abismo     yvykua pypuku    
abismo     itakua hugua'ÿva 
ablandar     mohu'ü
ablandar     mbyaruru     
ablución     johéi
ablución     ánga ñemopotï     
abobado     itavyraíva
abobado     ijurujáiva      
abobar     mbohekotavy
abobar     mbotavyrai
abobar     mbojurujái    
abochornado     otïva      
abochornado     ovapytämbáva 
abochornar     motï     
abochornar     mbohovapytä
abofeteador     oporohovapetéva     
abofetear     hovapete    
abofetear     hovanupä 
abogado     mo'ähára     
abogar     jerure mávare      
abogar     ñe'ë máva rehehápe 
abolengo     ypykuéra poravopyréva   
abolengo     ñemoñarenguéra 
abolición     ñembogue  
abolición     jeipe'a 
abolir     pe'a     
abolir     mbogue 
abolir     hejarei  
abollado     pyko'ë o     
abollado     pygua 
abollado     apeno
abolladura     pyko'ë    
abolladura     kandu
abollar     mbopygua      
abollar     mopyko'ë 
abollar     moakandu
abombar     moakätavy     
abombar     mboapysaryapu
abombar     mboapysakuamboty 
abominar     cha'e'ÿ     
abominar     py'aro
abonar     yvymboavevo      
abonar     hepyme'ë 
abonar     momora  
abono     yvymboavevoha
abono     jehorä 
abono     yvymoporäha  
aborigen     ypykue     
aborrecer     hayhu'ÿ      
aborrecer     hayhupe'a
aborrecer     hechase'ÿ 
abortar     membykua     
aborto     membykua    
aborto     membykuare 
abrazar     añuä      
abrazar     añuvä
abrevar     mboy'u     
abreviar     mombykypyre    
abreviar     mbykypyre
abridor     jaipe'aha     
abridor     hekyiha
abridor     pe'aha
abrigar     jaho'i    
abrigar     ñuvä
abrigo     aoaku      
abrigo     ahoja
abrir     pe'a     
abrochar     movotö 
abrochar     mboty    
abrojo     ñuatï'i     
abroquelar     ñemo'ä     
abrumar     momba'apo asy    
abrumar     mbojepy'apy
absoluto     katuete 
absoluto     pu'akapavë     
absolver     mbogue     
absolver     jora 
abstenerse     jejoko     
abstinencia     japo'ÿ     
abstinencia     jejoko 
absurdo     ñe'ërei 
absurdo     ha'e'ÿva
abuela     jarýi    
abuela     machu
abuelo     tuvaru     
abuelo     taitachu
abuelo     tuvaru
abuenar     mbopochypoi     
abuenar     moñyrö
abultado     chivu     
abultado     kandu
abundancia     teta     
